Entity Name,Entity ID,Fiscal Year,1 year_Dollar-Weighted Rate of Return,3 year_Dollar-Weighted Rate of Return,5 year_Dollar-Weighted Rate of Return,1 year_Time-Weighted Rate of Return,3 year_Time-Weighted Rate of Return,5 year_Time-Weighted Rate of Return,"Annual Money-Weight Rate of Return, Net of Investment Expense %"
Los Angeles County Employees' Retirement Association,7263,2022,0.6,,,0.1,8.5,8.1,0.6
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2022,,,,-11.7,5.2,6.3,-11.7
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2022,,,,-11.7,5.2,6.3,-11.7
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2022,,,,-11.7,5.2,6.3,-11.7
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2022,,,,-11.7,5.2,6.3,-11.7
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2022,,,,-11.7,5.2,6.3,-11.7
Marin County Employees' Retirement Association,7264,2022,-9.4,5.9,6.4,-9.01,7.48,7.6,-9.4
Marin County Transit District Service Credit Replacement Plan,13268,2022,-14.6,,,-14.6,,,-14.6
Mendocino County Employees' Retirement Association,7265,2022,,,,-9.72,7.03,6.91,-9.73
Merced County Employees' Retirement Association,7266,2022,,,,-6.8,8.1,7.8,-6.9
Modesto Irrigation District Basic Retirement Plan,7186,2022,14.36,15.83,11.25,,,,14.55
Orange County Employees' Retirement System,7267,2022,,,,16.56,14.1,10.83,16.67
Public Agency Retirement System Defined Benefit Plans,7215,2022,-0.08,,,,,,-0.08
Public Employees' Retirement Fund (PERF) A,12892,2022,-7.5,,,-6.1,6,6.7,-7.5
Public Employees' Retirement Fund (PERF) B,12893,2022,,,,-6.1,6,6.7,-7.5
Public Employees' Retirement Fund (PERF) C,12894,2022,,,,-6.1,6,6.7,-7.5
Sacramento County Employees' Retirement System,7268,2022,,,,-3.3,8.4,8.6,-4.3
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2022,-6.9,6.86,6.91,,,,-7.3
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2022,-6.9,6.86,6.91,,,,-7.3
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2022,-6.9,6.86,6.91,,,,-7.3
San Bernardino County Employees' Retirement Association,7269,2022,,,,-0.1,8.8,8,0
San Diego City Employees' Retirement System,7246,2022,,,,-1.7,7.2,7.5,-1.44
San Diego County Employees' Retirement Association,7270,2022,-9.23,4.72,5.5,-9.4,4.6,5.4,-9.23
San Diego Transit Corporation Employees' Retirement Plan,7200,2022,-14.25,-0.42,1.01,,,,-14.25
San Francisco City and County Employees' Retirement System,7247,2022,-6.24,,,,,,-6.24
San Joaquin County Employees' Retirement Association,7271,2022,13.68,11.7,8.8,14.2,12.4,9.5,13.68
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2022,-13.28,,,,,,-13.28
San Luis Obispo County Pension Trust,7272,2022,13.43,13.07,10.09,15.2,13.7,10.4,13.43
San Mateo County Employees' Retirement Association,7273,2022,,,,-4.4,5.9,5.9,-4.51
Santa Barbara County Employees' Retirement System,7274,2022,0.28,7.84,7.81,,,,0.28
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2022,-8.5,4.8,5.2,,,,-11.79
Self-Insured Schools of California Defined Benefit Plan,7183,2022,15.73,19.46,13.56,15.33,19.32,13.49,15.73
Sonoma County Employees' Retirement Association,7275,2022,,,,18.57,14.62,11.23,16.91
