Entity Name,Entity ID,Fiscal Year,Actuarially Determined Contributions_Employer Contributions,Contributions in Relation to the Actuarially Determined Contributions_Employer Contributions,Contribution Deficiency (Excess)_Employer Contributions,Covered-Employee Payroll_Employer Contributions,Contributions as a Percentage of Covered-Employee Payroll_Employer Contributions
City of San Jose Federated City Employees' Retirement System,7249,2022,207598000,207598000,0,348307000,59.6
City of San Jose Police and Fire Retirement Plan,7250,2022,212046000,212046000,0,251023000,84.47
City of Santa Barbara Police and Fire Pension Fund,7248,2022,0,0,0,0,0
Contra Costa County Employees' Retirement Association,7259,2022,339702909,339702909,0,976332448,34.79
Contra Costa Water District Retirement Plan,7172,2022,9294843,9852894,-558051,35121766,28.05
Desert Hospital Retirement Protection Plan,7398,2022,0,,0,0,0
East Bay Municipal Utility District Employees' Retirement System,7168,2022,79252000,79252000,0,221809000,35.73
Fresno County Employees' Retirement Association,7260,2022,251733000,251733000,0,463807000,54.28
Golden Gate Transit District Amalgamated Retirement Plan,7144,2022,6961000,5863000,1098000,19332000,30.33
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2022,407854,335000,72854,2126920,15.75
Imperial County Employees' Retirement System,7261,2022,33723091,33723091,0,124873000,27.01
Judges' Retirement System I,7205,2022,352881000,194960000,157921000,20916000,932.11
Judges' Retirement System II,7206,2022,91887000,92773000,-886000,360771000,25.72
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2022,0,11400000,-11400000,0,0
Kern County Employees' Retirement Association,7262,2022,287063000,287063000,0,612609000,46.86
Legislators' Retirement System,7207,2022,85000,85000,0,290000,29.31
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2022,3667102,3667102,0,32022000,11.45
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2022,184095,1026804,-842709,3923000,26.17
Los Angeles City Employees' Retirement System,7237,2022,591234354,591234354,0,2155005471,27.44
Los Angeles County Employees' Retirement Association,7263,2022,2199888715,2199888715,0,9100790705,24.17
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2022,965061,965061,0,909425,106.12
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2022,31288242,34956519,-3668277,196165000,17.82
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2022,2460792,2460792,0,1960332,125.53
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2022,22272254,22272254,0,223337778,9.97
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2022,9030088,9030088,0,57637117,15.67
Marin County Employees' Retirement Association,7264,2022,85165422,85165422,0,279282881,30.49
Marin County Transit District Service Credit Replacement Plan,13268,2022,9368,,9368,0,0
Mendocino County Employees' Retirement Association,7265,2022,30485006,30485006,0,81780476,37.28
Merced County Employees' Retirement Association,7266,2022,65629994,65629994,0,142704679,45.99
Modesto Irrigation District Basic Retirement Plan,7186,2022,19050456,19226711,-176255,45399177,42.35
Orange County Employees' Retirement System,7267,2022,684142000,698791000,-14649000,1870387000,37.36
Public Agency Retirement System Defined Benefit Plans,7215,2022,965099,965099,0,0,0
Public Employees' Retirement Fund (PERF) A,12892,2022,,,,0,0
Public Employees' Retirement Fund (PERF) B,12893,2022,3511338000,3511338000,0,14767213000,23.78
Public Employees' Retirement Fund (PERF) C,12894,2022,2284579000,3154849000,-870270000,4428659000,71.24
Sacramento County Employees' Retirement System,7268,2022,323610000,323610000,0,1078235000,30.01
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2022,10417845,10417845,0,38050032,27.38
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2022,4163949,4163949,0,14720399,28.29
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2022,10993228,10993228,0,28436264,38.66
San Bernardino County Employees' Retirement Association,7269,2022,550295000,550345000,-50000,1626449000,33.84
San Diego City Employees' Retirement System,7246,2022,443570000,446102000,-2532000,535273000,83.34
San Diego County Employees' Retirement Association,7270,2022,632594539,632594539,0,1450979727,43.6
San Diego Transit Corporation Employees' Retirement Plan,7200,2022,15838082,15838082,0,25059762,63.2
San Francisco City and County Employees' Retirement System,7247,2022,768463300,768463000,300,3742459000,20.53
San Joaquin County Employees' Retirement Association,7271,2022,245694645,306662635,-60967990,470179036,65.22
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2022,2351000,2351000,0,8327000,28.23
San Luis Obispo County Pension Trust,7272,2022,61177212,61177212,0,215475700,28.39
San Mateo County Employees' Retirement Association,7273,2022,234746179,249946179,-15200000,611956610,40.84
Santa Barbara County Employees' Retirement System,7274,2022,161388000,161388000,0,395157000,40.84
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2022,29114070,29114070,0,143981847,20.22
Self-Insured Schools of California Defined Benefit Plan,7183,2022,1449979,2032002,-582023,84060167,2.42
Sonoma County Employees' Retirement Association,7275,2022,73142000,74953000,-1811000,383134000,19.56
Stanislaus County Employees' Retirement Association,7276,2022,100768,100768,0,303573549,0.03
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2022,992105,1379571,-387466,11240877,12.27
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2022,1229797,1403000,-173203,6487132,21.63
Tulare County Employees' Retirement Association,7277,2022,40392000,40392000,0,288629000,13.99
Turlock Irrigation District Pension Plan,7187,2022,11507097,12270413,-763316,45101022,27.21
University of California Retirement Plan,7211,2022,3712774000,2892621000,820153000,13921086000,20.78
Ventura County Employees' Retirement Association,7278,2022,178667231,178667231,0,836840000,21.35
West Contra Costa Healthcare District Successor Retirement Plan,8275,2022,951869,2000000,-1048131,0,0
AC Transit Employees' Retirement Plan,7159,2021,60989000,60989000,0,193938000,31.45
Alameda County Employees' Retirement Association,7258,2021,309759000,309753000,6000,1111849000,27.86
Antelope Valley Hospital Medical Center Retirement Plan,7148,2021,18515980,18066319,449661,155611960,11.61
California State Teachers' Retirement System,7209,2021,10244846617,9475457949,769388668,36736943130,25.79
City of Alameda Police and Fire Pension 1079 and 1082,7218,2021,,,,0,0
City of Albany Police and Fire Relief Pension Fund,7219,2021,847799,847799,0,0,0
City of Berkeley Safety Members' Pension Fund,7220,2021,,,,0,0
City of Concord Retirement System,7230,2021,2377000,2715000,-338000,0,0
City of Delano Employee Pension Plan,7235,2021,2470960,1770638,700322,12676624,13.97
City of El Cerrito Employees' Pension Trust Fund,7225,2021,89205,,89205,89205,0
City of Emeryville Pension Plan,7221,2021,100090,,100090,0,0
City of Eureka Fire and Police Retirement System,7233,2021,0,0,0,0,0
City of Fresno Employees' Retirement System,7232,2021,20144322,20144322,0,154030657,13.08
City of Fresno Fire and Police Retirement System,7231,2021,26314815,26314815,0,115341276,22.81
City of Irvine Safety Defined Benefit Pension Plan,7243,2021,590933,594717,-3784,263645,225.57
City of Los Angeles Fire and Police Pension System,7236,2021,543818747,543818747,0,1603349000,33.92
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2021,373374390,378990511,-5616121,1121883556,33.78
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2021,25050,25050,0,0,0
City of Manhattan Beach Supplemental Retirement Plan,7241,2021,14382,14382,0,0,0
City of Oakland Fire and Police Retirement System,7222,2021,43648000,43648000,0,0,0
City of Pasadena Fire and Police Retirement System,7239,2021,,,,0,0
City of Piedmont Police and Fire Pension Plan,7224,2021,0,0,0,0,0
City of Richmond Garfield Pension Plan,7229,2021,0,0,0,0,0
City of Richmond General Pension Plan,7227,2021,312462,319025,-6563,0,0
City of Richmond Police and Firemen's Pension Plan,7228,2021,937004,937004,0,0,0
City of Sacramento City Employees' Retirement System,7245,2021,3822000,3822000,0,270000,1415.56
City of San Clemente Restated Employees' Retirement Plan,7244,2021,1868000,2418000,-550000,549043,440.4
City of San Jose Federated City Employees' Retirement System,7249,2021,183964000,183964000,0,335421000,54.85
City of San Jose Police and Fire Retirement Plan,7250,2021,201370000,201370000,0,237476000,84.8
City of Santa Barbara Police and Fire Pension Fund,7248,2021,0,0,0,0,0
Contra Costa County Employees' Retirement Association,7259,2021,336066723,336066723,0,943422017,35.62
Contra Costa Water District Retirement Plan,7172,2021,8568706,8857877,-289171,34446322,25.72
Desert Hospital Retirement Protection Plan,7398,2021,366275,,366275,0,0
East Bay Municipal Utility District Employees' Retirement System,7168,2021,77645000,77645000,0,215110000,36.1
Fresno County Employees' Retirement Association,7260,2021,273973000,273973000,0,454782000,60.24
Golden Gate Transit District Amalgamated Retirement Plan,7144,2021,7925000,4927000,2998000,19709000,25
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2021,482982,600000,-117018,1907781,31.45
Imperial County Employees' Retirement System,7261,2021,27812265,27812265,0,125042000,22.24
Judges' Retirement System I,7205,2021,366446000,225824000,140622000,20808000,1085.27
Judges' Retirement System II,7206,2021,84147000,84147000,0,361108000,23.3
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2021,4414280,11400000,-6985720,0,0
Kern County Employees' Retirement Association,7262,2021,268626000,268626000,0,604320000,44.45
Legislators' Retirement System,7207,2021,78000,78000,0,267000,29.21
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2021,4341170,4341170,0,30015000,14.46
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2021,1439021,1826321,-387300,4869000,37.51
Los Angeles City Employees' Retirement System,7237,2021,554855906,554855906,0,2276768292,24.37
Los Angeles County Employees' Retirement Association,7263,2021,2012877282,2012877282,0,9062051303,22.21
